d_RD,d_SD,C_phi
11.538294128897856,41.41195978486336,27.93533471325464
14.382164242602492,15.883991745016088,29.4194627976783
4.017980707065525,33.54452381616498,30.96168943143447
34.40162034703867,64.37451004169155,23.5108051407559
33.74618677608381,63.71826459609878,21.272535767220553
29.159578044538595,59.12474555708534,20.25757132009772
22.211439073406794,8.12867138214695,27.57505731834401
4.238863344436918,26.33867001597436,29.82460019661601
15.032627847791717,15.23287583061088,26.82130599477854
28.101563799379836,2.807081429605031,27.67131602829566
8.963353157526948,38.788969102941785,28.866272812168166
10.892261616680512,40.75617260674086,27.803320180962878
2.1765040033419685,30.92332972355524,32.888115676330585
14.13213620609343,44.0353405021639,22.586136650286363
27.194855155410984,57.15621465944461,22.336469300773214
13.083065988194972,17.187467524155164,26.39689710724257
3.6730611798297566,26.99338610812448,32.45156724289444
17.388131223280336,47.31501604989322,25.623131525427915
20.652623663775287,50.59510052891351,25.817872625816754
5.198135256207006,34.85540701269475,29.793044143549977
22.211439073406794,8.12867138214695,26.04566556234398
3.463983798570589,32.8891494790262,31.854903551964274
6.047367696403496,24.375118740864878,28.218324135147476
6.670522301034233,23.720828104229692,30.005500415784766
30.46975012845562,60.43714170220945,26.03374408563824
28.101563799379836,2.807081429605031,25.91346229841642
11.787078123639736,18.492309583258915,28.294546457408405
2.669209837196054,28.303075364602662,31.82259885538364
34.40162034703867,64.37451004169155,22.747830327467675
8.963353157526948,38.788969102941785,28.65155565268064
12.18545266317459,42.06777124852932,26.23205761082706
2.051002576850632,29.6130694845624,34.64132883419048
19.999244960750442,49.93905478620411,21.537343418582424
3.1427617363549496,27.648189920444185,33.60047807118708
18.291487429859117,11.986217980981461,23.963350450608782
14.13213620609343,44.0353405021639,25.065198497022486
7.933017204258728,22.41264601418147,21.756859626943758
16.08442424190408,46.003091860975054,26.275426090697632
19.34608205103649,49.283022890960034,26.947908628568904
12.434622419307464,17.83973649881375,24.330623721739475
18.94425257544571,11.339386021264605,23.679601352326472
34.40162034703867,64.37451004169155,24.80713732836803
32.43545701148236,62.405793913449756,23.417547184948575
3.1427617363549496,27.648189920444185,32.5798290821598
25.885459914717163,55.843906413155565,23.342765629806994
18.291487429859117,11.986217980981461,25.41306834263342
7.057014158392477,36.82203219395092,29.649018527946957
27.44670285856475,3.3010991172795565,27.06413379480469
29.159578044538595,59.12474555708534,23.131481663138864
16.98683598183631,13.282747628130133,27.1144431127201
18.291487429859117,11.986217980981461,24.785597409678044
13.482498944104458,43.379462626659844,25.972461513694117
2.509120187210237,31.578549286231578,32.93999919201747
33.74618677608381,63.71826459609878,24.6786687694554
